0	7392
1	6881
2	6679
3	6583
4	6513
5	6490
6	6096
7	5996
8	5730
9	5788
10	5704
11	5769
12	5633
13	5616
14	5433
15	5328
16	5321
17	5278
18	5275
19	5178
20	5113
21	5067
22	4924
23	5079
24	5016
25	4898
26	4950
27	4771
28	4935
29	4823
30	4827
31	4854
32	4828
33	4762
34	4597
35	4789
36	4674
37	4623
38	4675
39	4566
40	4781
41	4577
42	4732
43	4607
44	4552
45	4478
46	4531
47	4563
48	4395
49	4474
50	4511
51	4491
52	4498
53	4267
54	4332
55	4330
56	4324
57	4381
58	4264
59	4340
60	4216
61	4183
62	4188
63	4136
64	4197
65	4168
66	4304
67	4082
68	4220
69	4103
70	4084
71	4110
72	4141
73	4105
74	4140
75	4130
76	4081
77	3991
78	4030
79	4081
80	4096
81	3997
82	4021
83	4062
84	4016
85	4012
86	3979
87	4115
88	4017
89	4055
90	4033
91	3857
92	3993
93	3956
94	3990
95	3951
96	3917
97	3975
98	3886
